No,nama_hotel,kelurahan,kecamatan,bintang,jumlah_kamar,jumlah_tempat_tidur,jan_wisman,jan_wisnus,feb_wisman,feb_wisnus,mar_wisman,mar_wisnus,apr_wisman,apr_wisnus,mei_wisman,mei_wisnus,jun_wisman,jun_wisnus,jul_wisman,jul_wisnus,ags_wisman,ags_wisnus,sep_wisman,sep_wisnus,okt_wisman,okt_wisnus,nov_wisman,nov_wisnus,des_wisman,des_wisnus,total_wisman,total_wisnus,total_wisatawan,jan_kmr,jan_pax,feb_kmr,feb_pax,mar_kmr,mar_pax,apr_kmr,apr_pax,mei_kmr,mei_pax,jun_kmr,jun_pax,jul_kmr,jul_pax,ags_kmr,ags_pax,sep_kmr,sep_pax,okt_kmr,okt_pax,nov_kmr,nov_pax,des_kmr,des_pax,kamar_terjual,total_malam_tamu,jan_rm_ava,jan_occ,feb_rm_ava,feb_occ,mar_rm_ava,mar_occ,apr_rm_ava,apr_occ,mei_rm_ava,mei_occ,jun_rm_ava,jun_occ,jul_rm_ava,jul_occ,ags_rm_ava,ags_occ,sep_rm_ava,sep_occ,okt_rm_ava,okt_occ,nov_rm_ava,nov_occ,des_rm_ava,des_occ,rata_rata_occ,tahun
82,QUEST HOTEL,Damai Bahagia,Balikpapan Selatan,Bintang 3,99,143,89,3.407,72,3.337,40,2.292,2,143,0,0,0,770,2,1.432,27,1.790,109,1.872,60,2.568,116,2.858,72,3.189,589,23.658,24.247,  1.872 ,3.496,  2.028 ,3.409,  1.367 ,2.332,  109 ,145,0,0,  425 ,770,  862 ,1.434,  1.118 ,1.817,  1.078 ,1.981,  1.546 ,2.628,  1.706 ,2.974,  1.767 ,3.261,13.878,24.247,3.069,"61,00",2.772,"73,16",3.069,"44,54",2.970,"3,67",3.069,"0,00",2.970,"14,31",3.069,"28,09",3.069,"36,43",2.970,"36,30",3.069,"50,37",2.970,"57,44",3.069,"57,58","38,57",2020
83,NEO+ HOTEL,Gn. Sari Ulu,Balikpapan Tengah,Bintang 3,109,159,66,3.897,0,4.486,0,3.231,0,1.898,0,1.885,0,3.183,0,3.211,0,3.652,0,3.599,0,3.953,0,4.469,0,4.657,66,42.121,42.187,  2.170 ,3.963,  2.491 ,4.486,  1.793 ,3.231,  1.044 ,1.898,  1.369 ,1.885,  1.683 ,3.183,  1.856 ,3.211,  2.029 ,3.652,  2.300 ,3.599,  2.595 ,3.953,  1.931 ,4.469,  2.671 ,4.657,23.932,42.187,3.379,"64,22",3.052,"81,62",3.379,"53,06",3.270,"31,93",3.379,"40,51",3.270,"51,47",3.379,"54,93",3.379,"60,05",3.270,"70,34",3.379,"76,80",3.270,"59,05",3.379,"79,05","60,25",2020
84,D'PRIMA HOTEL,Damai,Balikpapan Selatan,Bintang 3,73,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.263,"0,00",2.044,"0,00",2.263,"0,00",2.190,"0,00",2.263,"0,00",2.190,"0,00",2.263,"0,00",2.263,"0,00",2.190,"0,00",2.263,"0,00",2.190,"0,00",2.263,"0,00","0,00",2020
85,PACIFIC HOTEL,Gn. sari Ilir,Balikpapan Tengah,Bintang 3,101,159,8,1.517,20,1.205,8,844,0,322,0,369,0,473,0,562,0,599,0,724,0,0,0,0,0,0,36,6.615,6.651,  1.073 ,1.525,  856 ,1.225,  575 ,852,  246 ,322,  320 ,369,  425 ,473,  528 ,562,  558 ,599,  625 ,724,0,0,0,0,0,0,5.206,6.651,3.131,"34,27",2.828,"30,27",3.131,"18,36",3.030,"8,12",3.131,"10,22",3.030,"14,03",3.131,"16,86",3.131,"17,82",3.030,"20,63",3.131,"0,00",3.030,"0,00",3.131,"0,00","14,22",2020
86,WHIZ PRIME HOTEL,Damai,Balikpapan Kota,Bintang 3,27,37,29,5.020,8,4.125,0,3.525,0,1.292,0,2.008,0,2.820,3,2.639,0,2.614,0,2.490,0,4.259,0,4.948,0,5.610,40,41.350,41.390,  2.840 ,5.049,  3.037 ,4.133,  2.311 ,3.525,  646 ,1.292,  1.004 ,2.008,  1.528 ,2.820,  1.416 ,2.642,  1.445 ,2.614,  1.345 ,2.490,  2.438 ,4.259,  2.906 ,4.948,  3.178 ,5.610,24.094,41.390,837,"339,31",756,"401,72",837,"276,11",810,"79,75",837,"119,95",810,"188,64",837,"169,18",837,"172,64",810,"166,05",837,"291,28",810,"358,77",837,"379,69","245,26",2020
87,BDI TOWN HOUSE,Gn. Bahagia,Balikpapan Selatan,Bintang 3,85,170,43,879,74,716,77,429,90,306,93,225,119,203,124,312,116,358,118,306,124,296,124,250,124,590,1.226,4.870,6.096,  465 ,922,  422 ,790,  252 ,506,  198 ,396,  159 ,318,  161 ,322,  218 ,436,  237 ,474,  212 ,424,  210 ,420,  210 ,374,  357 ,714,3.101,6.096,2.635,"17,65",2.380,"17,73",2.635,"9,56",2.550,"7,76",2.635,"6,03",2.550,"6,31",2.635,"8,27",2.635,"8,99",2.550,"8,31",2.635,"7,97",2.550,"8,24",2.635,"13,55","10,03",2020
88,IBIS HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 3,155,237,59,3.655,66,4.100,21,3.153,15,1.702,62,1.726,60,1.912,38,2.217,16,2.420,49,2.795,7,3.374,15,2.834,2,3.697,410,33.585,33.995,  3.655 ,3.714,  4.100 ,4.166,  3.153 ,3.174,  1.717 ,1.717,  1.789 ,1.788,  1.972 ,1.972,  2.173 ,2.255,  2.436 ,2.436,  2.849 ,2.844,  3.381 ,3.381,  2.869 ,2.849,  3.699 ,3.699,33.793,33.995,4.805,"76,07",4.340,"94,47",4.805,"65,62",4.650,"36,92",4.805,"37,23",4.650,"42,41",4.805,"45,22",4.805,"50,70",4.650,"61,27",4.805,"70,36",4.650,"61,70",4.805,"76,98","59,91",2020
89,SWISS BELL INN,Damai,Balikpapan Kota,Bintang 3,98,98,63,3.045,38,3.215,0,1.017,23,394,34,1.481,31,507,26,528,0,1.338,0,1.797,0,0,0,0,0,1.520,215,14.842,15.057,  3.084 ,3.108,  3.228 ,3.253,  925 ,1.017,  388 ,417,  1.060 ,1.515,  436 ,538,  712 ,554,  1.791 ,1.338,  1.023 ,1.797,0,0,,0,  1.243 ,1.520,13.890,15.057,3.038,"101,51",2.744,"117,64",3.038,"30,45",2.940,"13,20",3.038,"34,89",2.940,"14,83",3.038,"23,44",3.038,"58,95",2.940,"34,80",3.038,"0,00",2.940,"0,00",3.038,"40,92","39,22",2020
90,ZURICH HOTEL,Damai,Balikpapan Kota,Bintang 3,166,166,9,3.827,41,3.869,34,2.919,0,929,0,786,0,1.322,0,1.704,0,1.696,0,1.657,0,1.873,0,1.322,0,2.993,84,24.897,24.981,  2.179 ,3.836,  2.140 ,3.910,  1.815 ,2.953,  593 ,929,  443 ,786,  784 ,1.322,  987 ,1.704,  1.048 ,1.696,  978 ,1.657,  1.108 ,1.873,  1.396 ,1.322,  1.708 ,2.993,15.179,24.981,5.146,"42,34",4.648,"46,04",5.146,"35,27",4.980,"11,91",5.146,"8,61",4.980,"15,74",5.146,"19,18",5.146,"20,37",4.980,"19,64",5.146,"21,53",4.980,"28,03",5.146,"33,19","25,15",2020
91,MAX ONE,Damai,Balikpapan Selatan,Bintang 3,30,43,30,6.090,20,6.018,28,4.318,10,1.384,22,2.390,12,4.034,26,5.009,22,5.424,6,4.940,25,5.498,30,5.302,27,5.551,258,55.958,56.216,  3.140 ,6.120,  3.084 ,6.038,  2.252 ,4.346,  914 ,1.394,  1.564 ,2.412,  2.473 ,4.046,  2.040 ,5.035,  3.122 ,5.446,  3.045 ,4.946,  3.436 ,5.523,  3.271 ,5.332,  3.345 ,5.578,31.686,56.216,930,"337,63",840,"367,14",930,"242,15",900,"101,56",930,"168,17",900,"274,78",930,"219,35",930,"335,70",900,"338,33",930,"369,46",900,"363,44",930,"359,68","289,78",2020
92,HORISON SAGITA,Klandasan Ilir,Balikpapan Kota,Bintang 3,79,79,3,2.203,4,2.037,1,1.805,0,839,0,1.015,0,1.916,0,1.609,0,1.590,0,1.545,32,2.364,116,2.450,66,2.694,222,22.067,22.289,  1.731 ,2.206,  1.855 ,2.041,  1.652 ,1.806,  709 ,839,  894 ,1.015,  1.814 ,1.916,  1.393 ,1.609,  1.478 ,1.590,  1.490 ,1.545,  2.141 ,2.396,  2.193 ,2.566,  2.557 ,2.760,19.907,22.289,2.449,"70,68",2.212,"83,86",2.449,"67,46",2.370,"29,92",2.449,"36,50",2.370,"76,54",2.449,"56,88",2.449,"60,35",2.370,"62,87",2.449,"87,42",2.370,"92,53",2.449,"104,41","69,12",2020
93,MEGA LESTARI HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 3,155,237,2,1.847,0,1.923,0,1.382,0,615,0,817,0,1.515,0,1.372,0,1.333,0,1.171,0,1.122,0,1.503,0,1.285,2,15.885,15.887,  961 ,1.849,  941 ,1.923,  751 ,0,  312 ,0,  429 ,0,  795 ,1.515,  734 ,1.372,  743 ,1.333,  814 ,1.171,  942 ,1.122,  991 ,1.503,  917 ,1.285,9.330,13.073,4.805,"20,00",4.340,"21,68",4.805,"15,63",4.650,"6,71",4.805,"8,93",4.650,"17,10",4.805,"15,28",4.805,"15,46",4.650,"17,51",4.805,"19,60",4.650,"21,31",4.805,"19,08","16,52",2020
94,BEST INN,Gn. Bahagia,Balikpapan Selatan,Bintang 3,53,72,0,1.474,0,1.622,0,1.292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.388,4.388,  737 ,1.474,  881 ,1.622,  646 ,1.292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.264,4.388,1.643,"44,86",1.484,"59,37",1.643,"39,32",1.590,"0,00",1.643,"0,00",1.590,"0,00",1.643,"0,00",1.643,"0,00",1.590,"0,00",1.643,"0,00",1.590,"0,00",1.643,"0,00","11,96",2020
95,THE STAR HILL,Damai Bahagia,Balikpapan Selatan,Bintang 3,133,197,0,202,0,160,0,196,0,0,0,0,0,0,0,64,0,154,0,132,0,268,0,260,0,418,0,1.854,1.854,  101 ,202,  80 ,160,  98 ,196,  - ,0,0,0,0,0,  32 ,64,  77 ,154,  66 ,132,  134 ,268,  130 ,260,  209 ,418,927,1.854,4.123,"2,45",3.724,"2,15",4.123,"2,38",3.990,"0,00",4.123,"0,00",3.990,"0,00",4.123,"0,78",4.123,"1,87",3.990,"1,65",4.123,"3,25",3.990,"3,26",4.123,"5,07","1,90",2020
96,ROYAL SUITE HOTEL,Sepinggan,Balikpapan Selatan,Bintang 3,112,172,0,434,0,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434,0,1.495,1.495,  355 ,434,  490 ,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  325 ,434,1.170,1.495,3.472,"10,22",3.136,"15,63",3.472,"0,00",3.360,"0,00",3.472,"0,00",3.360,"0,00",3.472,"0,00",3.472,"0,00",3.360,"0,00",3.472,"0,00",3.360,"0,00",3.472,"9,36","2,93",2020
97,ADHIKA BAHTERA HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 3,155,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.805,"0,00",4.340,"0,00",4.805,"0,00",4.650,"0,00",4.805,"0,00",4.650,"0,00",4.805,"0,00",4.805,"0,00",4.650,"0,00",4.805,"0,00",4.650,"0,00",4.805,"0,00","0,00",2020
98,MIRAMA HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 3,108,173,0,736,0,1.255,0,817,0,81,0,0,0,445,0,285,0,642,0,710,0,825,0,920,0,1.274,0,7.990,7.990,  516 ,736,  745 ,1.255,  520 ,817,  47 ,81,0,0,  235 ,445,  361 ,285,  421 ,642,  365 ,710,  482 ,825,  524 ,920,  662 ,1.274,4.878,7.990,3.348,"15,41",3.024,"24,64",3.348,"15,53",3.240,"1,45",3.348,"0,00",3.240,"7,25",3.348,"10,78",3.348,"12,57",3.240,"11,27",3.348,"14,40",3.240,"16,17",3.348,"19,77","12,44",2020
99,HER HOTEL & TRADE CENTER,Gn. Samarinda,Balikpapan Utara,Bintang 3,154,200,0,1.397,0,1.550,0,0,0,0,0,0,0,1.144,0,1.282,0,1.077,0,1.955,0,1.735,0,824,0,1.966,0,12.930,12.930,  1.095 ,1.397,  1.269 ,1.550,,0,0,0,0,0,  818 ,1.144,  970 ,1.282,  828 ,1.077,  1.757 ,1.955,  1.497 ,1.735,  945 ,824,  1.593 ,1.966,10.772,12.930,4.774,"22,94",4.312,"29,43",4.774,"0,00",4.620,"0,00",4.774,"0,00",4.620,"17,71",4.774,"20,32",4.774,"17,34",4.620,"38,03",4.774,"31,36",4.620,"20,45",4.774,"33,37","19,25",2020
100,FAVE HOTEL,Damai,Balikpapan Selatan,Bintang 2,73,73,0,3.291,0,3.502,0,2.965,0,0,0,0,0,664,0,1.008,0,2.924,0,2.924,0,0,0,0,0,0,0,17.278,17.278,  1.893 ,3.291,  1.971 ,3.502,  1.639 ,2.965,0,0,0,0,  399 ,664,  1.353 ,1.008,  1.904 ,2.924,  2.105 ,2.924,0,0,0,0,0,0,11.264,17.278,2.263,"83,65",2.044,"96,43",2.263,"72,43",2.190,"0,00",2.263,"0,00",2.190,"18,22",2.263,"59,79",2.263,"84,14",2.190,"96,12",2.263,"0,00",2.190,"0,00",2.263,"0,00","42,56",2020
101,D'PRIMA RUKO BANDAR,Klandasan Ulu,Balikpapan Kota,Bintang 3,81,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.511,"0,00",2.268,"0,00",2.511,"0,00",2.430,"0,00",2.511,"0,00",2.430,"0,00",2.511,"0,00",2.511,"0,00",2.430,"0,00",2.511,"0,00",2.430,"0,00",2.511,"0,00","0,00",2020
102,THE POINT HOTEL,Damai,Balikpapan Selatan,Bintang 2,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.023,"0,00",924,"0,00",1.023,"0,00",990,"0,00",1.023,"0,00",990,"0,00",1.023,"0,00",1.023,"0,00",990,"0,00",1.023,"0,00",990,"0,00",1.023,"0,00","0,00",2020
103,MIDTOWN XPRESS,Damai,Balikpapan Kota,Bintang 2,115,174,15,1.277,17,1.338,8,1.261,0,848,4,969,1,1.097,2,1.136,0,5.424,21,1.111,35,1.491,45,1.417,0,1.526,148,18.895,19.043,  1.292 ,1.292,  1.355 ,1.355,  1.269 ,1.269,  848 ,848,  973 ,973,  1.098 ,1.098,  1.138 ,1.138,  1.740 ,5.424,  1.132 ,1.132,  1.526 ,1.526,  1.462 ,1.462,  1.526 ,1.526,15.359,19.043,3.565,"36,24",3.220,"42,08",3.565,"35,60",3.450,"24,58",3.565,"27,29",3.450,"31,83",3.565,"31,92",3.565,"48,81",3.450,"32,81",3.565,"42,81",3.450,"42,38",3.565,"42,81","36,60",2020
104,SEVENSIX HOTEL,Gn. Bahagia,Balikpapan Selatan,Bintang 2,35,42,0,2.522,0,2.582,0,1.664,0,582,0,1.272,0,2.082,0,2.004,0,2.438,0,2.532,0,2.742,0,2.714,0,2.776,0,25.910,25.910,  1.261 ,2.522,  1.291 ,2.582,  832 ,1.664,  291 ,582,  636 ,1.272,  1.041 ,2.082,  1.002 ,2.004,  1.219 ,2.438,  1.266 ,2.532,  1.371 ,2.742,  1.357 ,2.714,  1.388 ,2.776,12.955,25.910,1.085,"116,22",980,"131,73",1.085,"76,68",1.050,"27,71",1.085,"58,62",1.050,"99,14",1.085,"92,35",1.085,"112,35",1.050,"120,57",1.085,"126,36",1.050,"129,24",1.085,"127,93","101,58",2020
105,BUANA LESTARI HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 2,50,58,0,1.321,0,794,0,780,0,0,0,0,0,0,0,345,0,585,0,605,0,794,0,825,0,1.018,0,7.067,7.067,  884 ,1.321,  794 ,794,  565 ,780,0,0,0,0,0,0,  236 ,345,  410 ,585,  407 ,605,  594 ,794,  550 ,825,  703 ,1.018,5.143,7.067,1.550,"57,03",1.400,"56,71",1.550,"36,45",1.500,"0,00",1.550,"0,00",1.500,"0,00",1.550,"15,23",1.550,"26,45",1.500,"27,13",1.550,"38,32",1.500,"36,67",1.550,"45,35","28,28",2020
106,SEPINGGAN HOTEL,Sepinggan Raya,Balikpapan Selatan,Bintang 2,101,119,11,717,9,770,5,654,0,41,0,0,0,184,1,189,1,216,0,354,5,347,5,347,1,207,38,4.026,4.064,  314 ,728,  337 ,779,  280 ,659,  16 ,41,0,0,  101 ,184,  99 ,190,  98 ,217,  149 ,354,  194 ,352,  149 ,352,  93 ,208,1.830,4.064,3.131,"10,03",2.828,"11,92",3.131,"8,94",3.030,"0,53",3.131,"0,00",3.030,"3,33",3.131,"3,16",3.131,"3,13",3.030,"4,92",3.131,"6,20",3.030,"4,92",3.131,"2,97","5,00",2020
107,HAAI HOTEL,Gn. Bahagia,Balikpapan Selatan,Bintang 2,112,158,33,140,31,100,2,78,31,52,31,58,31,49,31,39,31,71,31,85,37,136,31,79,32,88,352,975,1.327,  173 ,173,  131 ,131,  110 ,80,  83 ,83,  89 ,89,  80 ,80,  70 ,70,  102 ,102,  116 ,116,  173 ,173,  110 ,110,  120 ,120,1.357,1.327,3.472,"4,98",3.136,"4,18",3.472,"3,17",3.360,"2,47",3.472,"2,56",3.360,"2,38",3.472,"2,02",3.472,"2,94",3.360,"3,45",3.472,"4,98",3.360,"3,27",3.472,"3,46","3,32",2020
108,CITY HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 2,57,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.767,"0,00",1.596,"0,00",1.767,"0,00",1.710,"0,00",1.767,"0,00",1.710,"0,00",1.767,"0,00",1.767,"0,00",1.710,"0,00",1.767,"0,00",1.710,"0,00",1.767,"0,00","0,00",2020
109,MUTIARA INDAH HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 2,38,40,0,1.898,0,3.592,0,1.632,0,812,0,1.100,0,1.246,0,1.272,0,1.260,0,1.096,0,1.400,0,1.754,0,1.912,0,18.974,18.974,  949 ,1.898,  1.796 ,3.592,  816 ,1.632,  406 ,812,  550 ,1.100,  623 ,1.246,  636 ,1.272,  630 ,1.260,  548 ,1.096,  700 ,1.400,  877 ,1.754,  956 ,1.912,9.487,18.974,1.178,"80,56",1.064,"168,80",1.178,"69,27",1.140,"35,61",1.178,"46,69",1.140,"54,65",1.178,"53,99",1.178,"53,48",1.140,"48,07",1.178,"59,42",1.140,"76,93",1.178,"81,15","69,05",2020
110,D'PRIMA MT HARYONO,Damai,Balikpapan Kota,Bintang 2,112,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.472,"0,00",3.136,"0,00",3.472,"0,00",3.360,"0,00",3.472,"0,00",3.360,"0,00",3.472,"0,00",3.472,"0,00",3.360,"0,00",3.472,"0,00",3.360,"0,00",3.472,"0,00","0,00",2020
111,AIQO,Klandasan Ilir,Balikpapan Kota,Bintang 1,51,57,0,377,0,325,0,680,0,60,0,104,0,68,0,27,0,54,0,81,0,140,0,104,0,188,0,2.208,2.208,  372 ,377,  309 ,325,  341 ,680,  79 ,60,  132 ,104,  35 ,68,  18 ,27,  29 ,54,  41 ,81,  40 ,140,  52 ,104,  95 ,188,1.543,2.208,1.581,"23,53",1.428,"21,64",1.581,"21,57",1.530,"5,16",1.581,"8,35",1.530,"2,29",1.581,"1,14",1.581,"1,83",1.530,"2,68",1.581,"2,53",1.530,"3,40",1.581,"6,01","8,34",2020
112,BINTANG HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 1,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.108,"0,00",1.904,"0,00",2.108,"0,00",2.040,"0,00",2.108,"0,00",2.040,"0,00",2.108,"0,00",2.108,"0,00",2.040,"0,00",2.108,"0,00",2.040,"0,00",2.108,"0,00","0,00",2020
113,BANDARA CITA AMADANA HOTEL,Sepinggan,Balikpapan Selatan,Bintang 1,41,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.271,"0,00",1.148,"0,00",1.271,"0,00",1.230,"0,00",1.271,"0,00",1.230,"0,00",1.271,"0,00",1.271,"0,00",1.230,"0,00",1.271,"0,00",1.230,"0,00",1.271,"0,00","0,00",2020
114,NUANSA INDAH HOTEL,Damai,Balikpapan Kota,Bintang 1,166,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.146,"0,00",4.648,"0,00",5.146,"0,00",4.980,"0,00",5.146,"0,00",4.980,"0,00",5.146,"0,00",5.146,"0,00",4.980,"0,00",5.146,"0,00",4.980,"0,00",5.146,"0,00","0,00",2020
115,HOTEL HERLY,Damai,Balikpapan Selatan,Bintang 1,35,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.085,"0,00",980,"0,00",1.085,"0,00",1.050,"0,00",1.085,"0,00",1.050,"0,00",1.085,"0,00",1.085,"0,00",1.050,"0,00",1.085,"0,00",1.050,"0,00",1.085,"0,00","0,00",2020
116,BANDARA INTERNATIONAL HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 1,41,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.271,"0,00",1.148,"0,00",1.271,"0,00",1.230,"0,00",1.271,"0,00",1.230,"0,00",1.271,"0,00",1.271,"0,00",1.230,"0,00",1.271,"0,00",1.230,"0,00",1.271,"0,00","0,00",2020
117,THE TANG HOTEL,Batu Ampar,Balikpapan Utara,Bintang 1,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.364,"0,00",1.232,"0,00",1.364,"0,00",1.320,"0,00",1.364,"0,00",1.320,"0,00",1.364,"0,00",1.364,"0,00",1.320,"0,00",1.364,"0,00",1.320,"0,00",1.364,"0,00","0,00",2020
118,KEMALA BEACH RESORT,Prapatan,Balikpapan Selatan,Bintang 1,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.395,"0,00",1.260,"0,00",1.395,"0,00",1.350,"0,00",1.395,"0,00",1.350,"0,00",1.395,"0,00",1.395,"0,00",1.350,"0,00",1.395,"0,00",1.350,"0,00",1.395,"0,00","0,00",2020
119,J- ICON HIP HOTEL,Damai Bahagia,Balikpapan Selatan,Melati,30,30,6,799,4,822,0,0,0,0,0,0,0,134,0,182,0,304,0,398,0,444,0,584,0,720,10,4.387,4.397,  457 ,805,  424 ,826,0,0,0,0,0,0,  68 ,134,  137 ,182,  186 ,304,  206 ,398,  222 ,444,  315 ,584,  405 ,720,2.420,4.397,930,"49,14",840,"50,48",930,"0,00",900,"0,00",930,"0,00",900,"7,56",930,"14,73",930,"20,00",900,"22,89",930,"23,87",900,"35,00",930,"43,55","22,27",2020
120,SEJATI HOTEL,Damai,Balikpapan Selatan,Melati,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775,"0,00",700,"0,00",775,"0,00",750,"0,00",775,"0,00",750,"0,00",775,"0,00",775,"0,00",750,"0,00",775,"0,00",750,"0,00",775,"0,00","0,00",2020
121,ATHAR 88,Sungai Nangka,Balikpapan Selatan,Melati,74,74,0,1.304,0,1.202,0,650,0,152,0,184,0,880,0,0,0,0,0,0,0,0,0,0,0,0,0,4.372,4.372,  652 ,1.304,  601 ,1.202,  325 ,650,  76 ,152,  92 ,184,  440 ,880,0,0,0,0,0,0,0,0,0,0,0,0,2.186,4.372,2.294,"28,42",2.072,"29,01",2.294,"14,17",2.220,"3,42",2.294,"4,01",2.220,"19,82",2.294,"0,00",2.294,"0,00",2.220,"0,00",2.294,"0,00",2.220,"0,00",2.294,"0,00","8,24",2020
122,CITRA RASA NUSANTARA,Klandasan Ilir,Balikpapan Selatan,Melati,78,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.418,"0,00",2.184,"0,00",2.418,"0,00",2.340,"0,00",2.418,"0,00",2.340,"0,00",2.418,"0,00",2.418,"0,00",2.340,"0,00",2.418,"0,00",2.340,"0,00",2.418,"0,00","0,00",2020
123,ANDHIKA HOTEL,Marga Sari,Balikpapan Barat,Melati,17,29,0,188,0,164,0,196,0,154,0,180,0,168,0,164,0,166,0,136,0,72,0,84,0,90,0,1.762,1.762,  94 ,188,  164 ,164,  98 ,196,  77 ,154,  90 ,180,  84 ,168,  82 ,164,  83 ,166,  68 ,136,  36 ,72,  42 ,84,  90 ,90,1.008,1.762,527,"17,84",476,"34,45",527,"18,60",510,"15,10",527,"17,08",510,"16,47",527,"15,56",527,"15,75",510,"13,33",527,"6,83",510,"8,24",527,"17,08","16,36",2020
124,MAHAKAM HOTEL,Karang Rejo,Balikpapan Tengah,Melati,31,37,0,200,0,198,0,143,0,73,0,50,0,0,0,116,0,62,0,0,0,0,0,189,0,301,0,1.332,1.332,  200 ,200,  198 ,198,  143 ,143,  73 ,73,  50 ,50,0,0,  116 ,116,  62 ,62,0,0,0,0,  189 ,189,  301 ,301,1.332,1.332,961,"20,81",868,"22,81",961,"14,88",930,"7,85",961,"5,20",930,"0,00",961,"12,07",961,"6,45",930,"0,00",961,"0,00",930,"20,32",961,"31,32","11,81",2020
