nama_hotel,kelurahan,kecamatan,bintang,jumlah_kamar,jumlah_tempat_tidur,tahun,bulan,wisman,wisnus,kmr,pax,rm_ava,okupansi
FOUR POINS,Sepinggan Raya,Balikpapan Selatan,Bintang 4,138,168,2019,06,0,0,0,0,4278,"0,00"
PLATINUM HOTEL,Graha Indah,Balikpapan Utara,Bintang 4,200,312,2019,06,222,3.950,2.262,4.172,6200,"36,48"
BLUE SKY,Marga Sari,Balikpapan Barat,Bintang 4,122,140,2019,06,28,2.109,1.833,2.137,3782,"48,47"
PENTACITY HOTEL,Damai Bahagia,Balikpapan Selatan,Bintang 4,80,90,2019,06,0,0,0,0,2480,"0,00"
GRAND TJKORO,Sepinggan Raya,Balikpapan Selatan,Bintang 4,148,224,2019,06,108,4.050,3.013,4.158,4588,"65,67"
HORISON ULTIMA,Sepinggan,Balikpapan Selatan,Bintang 4,130,130,2019,06,0,0,0,0,4030,"0,00"
GOLDEN TULIP HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 4,150,255,2019,06,0,0,0,0,4650,"0,00"
SWISS BELL HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 4,230,350,2019,06,230,4.141,3.851,4.371,7130,"54,01"
GRAND TIGA MUSTIKA HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 4,116,196,2019,06,0,1.283,682,1.283,3596,"18,97"
ASTARA HOTEL,Damai Bahagia,Balikpapan Selatan,Bintang 4,663,673,2019,06,27,6.771,3.894,6.798,20553,"18,95"
MENARA BAHTERA,Klandasan Ilir,Balikpapan Kota,Bintang 4,182,252,2019,06,83,2.362,1.949,2.445,5642,"34,54"
THE NEW BENAKUTAI,Klandasan Ilir,Balikpapan Kota,Bintang 4,91,136,2019,06,0,1.716,858,1.716,2821,"30,41"
GRAND TAN HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 4,150,255,2019,06,182,7.528,0,7.710,4650,"0,00"
LE GRANDEUR HOTEL,DAMAI,Balikpapan Selatan,Bintang 4,185,200,2019,06,99,3.155,0,3.254,5735,"0,00"
HER HOTEL,Sepinggan,Balikpapan Selatan,Bintang 3,154,200,2019,06,0,3.148,1.921,3.148,4774,"40,24"
QUEST HOTEL,Damai Bahagia,Balikpapan Selatan,Bintang 3,79,79,2019,06,334,3.429,1.971,3.763,2449,"80,48"
NEO+ HOTEL,Gn. Sari Ulu,Balikpapan Tengah,Bintang 3,101,159,2019,06,26,3.891,2.081,3.917,3131,"66,46"
D'PRIMA HOTEL,Damai,Balikpapan Selatan,Bintang 3,73,73,2019,06,0,0,0,0,2263,"0,00"
PACIFIC HOTEL,Gn. sari Ilir,Balikpapan Tengah,Bintang 3,99,143,2019,06,2,1.486,1.105,1.488,3069,"36,01"
WHIZ PRIME HOTEL,Damai,Balikpapan Kota,Bintang 3,166,166,2019,06,6,2.848,2.854,2.854,5146,"55,46"
BDI TOWN HOUSE,Gn. Bahagia,Balikpapan Selatan,Bintang 3,85,170,2019,06,99,253,176,352,2635,"6,68"
IBIS HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 3,155,237,2019,06,31,6.553,4.115,6.584,4805,"85,64"
SWISS BELL INN,Damai,Balikpapan Kota,Bintang 3,133,197,2019,06,1,2.995,2.996,2.996,4123,"72,67"
ZURICH HOTEL,Damai,Balikpapan Kota,Bintang 3,112,172,2019,06,0,3.639,2.098,3.639,3472,"60,43"
MAX ONE,Damai,Balikpapan Selatan,Bintang 3,115,174,2019,06,36,5.798,3.212,5.834,3565,"90,10"
HORISON SAGITA,Klandasan Ilir,Balikpapan Kota,Bintang 3,98,98,2019,06,1,2.805,2.214,2.806,3038,"72,88"
MEGA LESTARI HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 3,108,173,2019,06,0,0,0,0,3348,"0,00"
BEST INN,Gn. Bahagia,Balikpapan Selatan,Bintang 3,53,72,2019,06,0,1.684,842,1.684,1643,"51,25"
THE STAR HILL,Damai Bahagia,Balikpapan Selatan,Bintang 3,27,37,2019,06,0,108,54,108,837,"6,45"
ROYAL SUITE HOTEL,Sepinggan,Balikpapan Selatan,Bintang 3,30,43,2019,06,0,450,350,450,930,"37,63"
ADHIKA BAHTERA HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 3,155,205,2019,06,0,236,720,236,4805,"14,98"
MIRAMA HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 3,109,159,2019,06,1,1.644,1.096,1.645,3379,"32,44"
FAVE HOTEL,Damai,Balikpapan Selatan,Bintang 3,112,158,2019,06,0,0,0,0,3472,"0,00"
D'PRIMA RUKO BANDAR,Klandasan Ulu,Balikpapan Kota,Bintang 3,81,81,2019,06,0,0,0,0,2511,"0,00"
THE POINT HOTEL,Damai,Balikpapan Selatan,Bintang 2,33,33,2019,06,0,0,0,0,1023,"0,00"
MIDTOWN XPRESS,Damai,Balikpapan Kota,Bintang 2,50,58,2019,06,31,1.326,1.357,1.357,1550,"87,55"
SEVENSIX HOTEL,Gn. Bahagia,Balikpapan Selatan,Bintang 2,51,57,2019,06,0,2.426,1.213,2.426,1581,"76,72"
BUANA LESTARI HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 2,57,76,2019,06,0,1.428,931,1.428,1767,"52,69"
SEPINGGAN HOTEL,Sepinggan Raya,Balikpapan Selatan,Bintang 2,35,42,2019,06,3,743,338,746,1085,"31,15"
HAAI HOTEL,Gn. Bahagia,Balikpapan Selatan,Bintang 2,38,40,2019,06,0,135,170,135,1178,"14,43"
CITY HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 2,73,73,2019,06,0,231,231,231,2263,"10,21"
MUTIARA INDAH HOTEL,Klandasan Ilir,Balikpapan Kota,Bintang 2,101,119,2019,06,0,1.740,870,1.740,3131,"27,79"
D'PRIMA MT HARYONO,Damai,Balikpapan Kota,Bintang 2,112,112,2019,06,0,0,0,0,3472,"0,00"
AIQO,Klandasan Ilir,Balikpapan Kota,Bintang 1,41,54,2019,06,0,154,145,154,1271,"11,41"
BINTANG HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 1,79,79,2019,06,0,137,137,137,2449,"5,59"
BANDARA CITA AMADANA HOTEL,Sepinggan,Balikpapan Selatan,Bintang 1,68,68,2019,06,0,0,0,0,2108,"0,00"
NUANSA INDAH HOTEL,Damai,Balikpapan Kota,Bintang 1,166,244,2019,06,17,2.756,0,2.773,5146,"0,00"
HOTEL HERLY,Damai,Balikpapan Selatan,Bintang 1,35,45,2019,06,0,588,0,588,1085,"0,00"
BANDARA INTERNATIONAL HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 1,41,54,2019,06,0,0,0,0,1271,"0,00"
THE TANG HOTEL,Batu Ampar,Balikpapan Utara,Bintang 1,44,44,2019,06,0,0,0,0,1364,"0,00"
KEMALA BEACH RESORT,Prapatan,Balikpapan Selatan,Bintang 1,45,45,2019,06,0,0,0,0,1395,"0,00"
J- ICON HIP HOTEL,Damai Bahagia,Balikpapan Selatan,Melati,30,30,2019,06,4,1.184,517,1.188,930,"55,59"
SEJATI HOTEL,Damai,Balikpapan Selatan,Melati,11,13,2019,06,0,0,0,0,341,"0,00"
ATHAR 88,Sungai Nangka,Balikpapan Selatan,Melati,46,46,2019,06,0,0,0,0,1426,"0,00"
CITRA RASA NUSANTARA,Klandasan Ilir,Balikpapan Selatan,Melati,23,26,2019,06,0,188,108,188,713,"15,15"
ANDHIKA HOTEL,Marga Sari,Balikpapan Barat,Melati,42,42,2019,06,0,236,236,236,1302,"18,13"
MAHAKAM HOTEL,Karang Rejo,Balikpapan Tengah,Melati,25,27,2019,06,0,321,321,321,775,"41,42"
GRAND SENYIUR HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 5,181,221,2020,06,4,406,278,410,5611,"4,95"
NOVOTEL HOTEL,Klandasan Ulu,Balikpapan Kota,Bintang 5,198,267,2020,06,216,1.612,1.832,1.828,6138,"29,85"
GRAND JATRA HOTEL,Damai Bahagia,Balikpapan Selatan,Bintang 5,215,296,2020,06,0,904,848,904,6665,"12,72"
FOUR POINS,Sepinggan Raya,Balikpapan Selatan,Bintang 4,138,168,2020,06,7,1.601,1.051,1.608,4278,"24,57"
